['# KSL']	['ID', 'DOCULECT', 'CONCEPT', 'GlossID', 'Orthography', 'IPA', 'Tokens', 'CogID']
46	EAH	10_smalltiny	16	opuruγ	opuruɣ	o p u r u ɣ	EAH-10_smalltiny-1
47	WOT	10_smalltiny	16	opuruγ	opuruɣ	o p u r u ɣ	WOT-10_smalltiny-1
#
48	H	11_tomow	17	arat	ɒrɒt	ɒ r ɒ t	H-11_tomow-1
#
49	EAH	11_tomow	17	orat	orat	o r a t	EAH-11_tomow-1
50	WOT	11_tomow	17	orat	orat	o r a t	WOT-11_tomow-1
#
51	H	11_tomow	18	arat	ɒrɒt	ɒ r ɒ t	H-11_tomow-2
#
52	EAH	11_tomow	18	orat	orat	o r a t	EAH-11_tomow-2
53	WOT	11_tomow	18	or	or	o r	WOT-11_tomow-2
#
54	H	12_todecayputrefygobadoffoodwater	19	ár	aːr	aː r	H-12_todecayputrefygobadoffoodwater-1
#
55	EAH	12_todecayputrefygobadoffoodwater	19	ār	aːr	aː r	EAH-12_todecayputrefygobadoffoodwater-1
56	WOT	12_todecayputrefygobadoffoodwater	19	ar	ar	a r	WOT-12_todecayputrefygobadoffoodwater-1
#
57	H	13_toharm	20	árt	aːrt	aː r t	H-13_toharm-1
#
58	EAH	13_toharm	20	ārtat	aːrtat	aː r t a t	EAH-13_toharm-1
59	WOT	13_toharm	20	artat	artat	a r t a t	WOT-13_toharm-1
#
60	H	14_atypeoflasso	21	árkány	aːrkaːɲ	aː r k aː ɲ	H-14_atypeoflasso-1
#
61	EAH	14_atypeoflasso	21	arkan	arkan	a r k a n	EAH-14_atypeoflasso-1
#
62	H	15_ditchcanal	22	árok	aːrok	aː r o k	H-15_ditchcanal-1
#
63	EAH	15_ditchcanal	22	āruk	aːruk	aː r u k	EAH-15_ditchcanal-1
64	WOT	15_ditchcanal	22	aruk	aruk	a r u k	WOT-15_ditchcanal-1
#
65	H	16_barleyhordeum	23	árpa	aːrpɒ	aː r p ɒ	H-16_barleyhordeum-1
#
66	EAH	16_barleyhordeum	23	arpa	arpa	a r p a	EAH-16_barleyhordeum-1
67	WOT	16_barleyhordeum	23	arpa	arpa	a r p a	WOT-16_barleyhordeum-1
#
68	H	17_barrow	24	ártány	aːrtaːɲ	aː r t aː ɲ	H-17_barrow-1
#
69	EAH	17_barrow	24	aritan	aritan	a r i t a n	EAH-17_barrow-1
70	WOT	17_barrow	24	arïtan	arɯtan	a r ɯ t a n	WOT-17_barrow-1
#
71	H	18_gauntrygantryforsupportingbarrels	25	ászok	aːsok	aː s o k	H-18_gauntrygantryforsupportingbarrels-1
#
72	OH	18_gauntrygantryforsupportingbarrels	25	ask	ask	a s k	OH-18_gauntrygantryforsupportingbarrels-1
73	EAH	18_gauntrygantryforsupportingbarrels	25	aski	aski	a s k i	EAH-18_gauntrygantryforsupportingbarrels-1
74	WOT	18_gauntrygantryforsupportingbarrels	25	askï	askɯ	a s k ɯ	WOT-18_gauntrygantryforsupportingbarrels-1
#
75	H	19_charm	26	báj	baːj	b aː j	H-19_charm-1
#
76	EAH	19_charm	26	bay	baj	b a j	EAH-19_charm-1
77	WOT	19_charm	26	bay	baj	b a j	WOT-19_charm-1
#
78	H	20_soggyplacemoorswampmarsh	27	balkány	bɒlkaːɲ	b ɒ l k aː ɲ	H-20_soggyplacemoorswampmarsh-1
#
79	EAH	20_soggyplacemoorswampmarsh	27	balkan	balkan	b a l k a n	EAH-20_soggyplacemoorswampmarsh-1
80	WOT	20_soggyplacemoorswampmarsh	27	balkan	balkan	b a l k a n	WOT-20_soggyplacemoorswampmarsh-1
#
81	H	21_hatchetaxe	28	balta	bɒltɒ	b ɒ l t ɒ	H-21_hatchetaxe-1
#
82	EAH	21_hatchetaxe	28	balta	balta	b a l t a	EAH-21_hatchetaxe-1
