ID	DOCULECT	ALIGNMENT	COGID	CV_SEGMENTS
131	EAH	b o z a -	80	CVCV
132	H	#b øː#	81	CV
133	EAH	b ɛ.ɣ	81	CVC
134	H	#b ø ɡ ø j# -#	82	CVCVC
135	EAH	b ø ɡ ø l øk	82	CVCVCVC
136	H	#b ø j.t# -#	83	CVCC
137	EAH	b y ɣ.t ɛ	83	CVCCV
138	H	#b ø l.t͡ʃ# -#	84	CVCC
139	EAH	b y.ɣ.y t͡ʃ i	84	CVCVCV
140	H	#b ø l.t͡ʃ øː#	85	CVCCV
141	EAH	b ɛ l.t͡ʃ ɛ.ɣ	85	CVCCVC
142	H	#b ø l eː ɲ# -#	86	CVCVC
143	EAH	b ɛ l ɛ n -	86	CVCVC
144	H	#b ø r.t ø n# -#	87	CVCCVC
145	EAH	b ɛ r.t ɛ n -	87	CVCCVC
146	H	#b uː ʃ# -#	89	CVC
147	EAH	b u ɣ -	89	CVC
148	H	#b uː t͡ʃ uː#	90	CVCV
149	EAH	b u l.t͡ʃ u.ɣ	90	CVCCVC
150	H	#b u ɡ ɒ# -#	91	CVCV
151	EAH	b u ɡ a -	91	CVCV
152	H	#b u l ɒ r# -#	92	CVCVC
153	EAH	b u l a r -	92	CVCVC
154	H	#b uː s# -#	93	CVC
155	EAH	b uː s -	93	CVC
156	H	#b uː z ɒ# -#	94	CVCV
157	EAH	b u.ɣ z a i	94	CVCCVV
158	H	#b u z o ɡ aː ɲ#	95	CVCVCVC
159	EAH	b u z - ɡ a n	95	CVCCVC
160	H	#b y kː# -#	96	CVC
161	EAH	b i k -	96	CVC
162	H	#b yː n# -#	97	CVC
163	EAH	b yː n -	97	CVC
164	H	#b y t y#	98	CVCV
165	EAH	b y t y.ɣ	98	CVCVC
166	H	#b yː	99	CV
167	EAH	b y.ɣ.y	99	CVCV
168	H	#t͡s i ɡ.l ɛ# -#	100	CVCCV
169	EAH	t͡ʃ i ɡ.l ɛ -	100	CVCCV
170	H	#t͡ʃ i ɡ o j ɒ# -#	105	CVCVCV
171	EAH	t͡ʃ i ɡ - l a -	105	CVCCV
172	H	#t͡s ø t.k eː ɲ# -#	107	CVCCVC
173	EAH	s y t.k ɛ n -	107	CVCCVC
174	H	#t͡ʃ ɒ b ɒ k# -#	109	CVCVC
175	EAH	t͡ʃ a b a k -	109	CVCVC
176	H	#t͡ʃ ɒ k# -#	110	CVC
177	EAH	t͡ʃ a k -	110	CVC
178	H	#t͡ʃ aː k aː ɲ# -#	111	CVCVC
179	EAH	t͡ʃ a k a n -	111	CVCVC
