ID	DOCULECT	ALIGNMENT	COGID	CV_SEGMENTS
534	H	#o r o s.l aː n# -#	343	VCVCCVC
535	EAH	u r u s.l aː n -	343	VCVCCVC
536	H	#o r.ʃ oː#	344	VCCV
537	EAH	u r.t͡ʃ u.ɣ	344	VCCVC
538	H	#o r.v#	345	VCC
539	EAH	u ɣ.r.u	345	VCCV
540	H	#o r.v o ʃ# -#	346	VCCVC
541	EAH	u r.v o t͡ʃ i	346	VCCVCV
542	H	#o ʃ# -#	347	VC
543	EAH	a l.t͡ʃ uk	347	VCCVC
544	H	#ø k ø r# -#	348	VCVC
545	EAH	y k y r -	348	VCVC
546	H	#ø l.t# -#	349	VCC
547	EAH	i l.t -	349	VCC
548	H	#ø j.v#	350	VCC
549	EAH	ɛ l.i.ɣ	350	VCVC
550	H	#ø n	351	VC
551	EAH	y n	351	VC
552	H	#øː r#	352	VC
553	EAH	ɛ.w.i r	352	VCVC
554	H	#ø r.m eː ɲ# -#	354	VCCVC
555	EAH	ɛ r.m ɛ n i	354	VCCVCV
556	H	#ø r ø k# -#	355	VCVC
557	EAH	y r y k -	355	VCVC
558	H	#ø r	356	VC
559	EAH	ø.ɣ.i r	356	VCVC
560	H	#øː r y l# -#	357	VCVC
561	EAH	ɛ.w r i l -	357	VCCVC
562	H	#ø r.v	358	VCCVC
563	EAH	ɛ.ɣ.i r	358	VCVC
564	H	#øː r eː m# -#	359	VCVC
565	EAH	ɛ.ɣ r i m -	359	VCCVC
566	H	#ø r.m eː ɲ# -#	361	VCCVC
567	EAH	ø r.m ɛ n -	361	VCCVC
568	H	#ø z ø n# -#	364	VCVC
569	EAH	y z ɛ n -	364	VCVC
570	H	#ʃ ɒ j.t# -#	365	CVCC
571	EAH	t͡ʃ a ɣ.t -	365	CVCC
572	H	#ʃ aː r# -#	367	CVC
573	EAH	ʃ a r -	367	CVC
574	H	#ʃ aː r.ɡ ɒ#	369	CVCCV
575	EAH	ʃ a r.u.ɡ -	369	CVCVC
576	H	#ʃ aː r.k aː ɲ# -#	370	CVCCVC
577	EAH	ʃ aː r.k aː n -	370	CVCCVC
578	H	#ʃ ɒ r.l oː#	371	CVCCV
579	EAH	t͡ʃ a r.l a.ɣ	371	CVCCVC
580	H	#ʃ aː r.m ɒ#	372	CVCCV
581	EAH	ʃ a r.m a.ɣ	372	CVCCVC
582	H	#ʃ ɒ r u#	373	CVCV
583	EAH	t͡ʃ a r u.ɣ	373	CVCVC
584	H	#ʃ aː t o r# -#	374	CVCVC
585	EAH	t͡ʃ a t u r -	374	CVCVC
586	H	#ʃ ɛ b	375	CVC
587	EAH	ʃ ɛ b	375	CVC
588	H	#ʃ ɛ p ɛ r# -#	376	CVCVC
589	EAH	ʃ i p i r -	376	CVCVC
590	H	#ʃ ɛ p.r yː# -#	377	CVCCV
591	EAH	ʃ i p.i.r i.ɣ -	377	CVCVCVC
592	H	#ʃ eː r# -#	380	CVC
593	EAH	ʃ i r -	380	CVC
594	H	#ʃ ɛ r ɛ ɡ# -#	381	CVCVC
595	EAH	t͡ʃ ɛ r i ɡ -	381	CVCVC
596	H	#ʃ ɛ r.k ɛ# -#	382	CVCCV
597	EAH	ʃ i r.k ɛ -	382	CVCCV
598	H	#ʃ ɛ r.l ɛ ɡ# -#	383	CVCCVC
599	EAH	ʃ ɛ r.l ɛ ɡ -	383	CVCCVC
600	H	#ʃ ɛ r.t	384	CVCC
601	EAH	ʃ i r.t	384	CVCC
602	H	#ʃ iː k# -#	385	CVC
603	EAH	ʃ i k -	385	CVC
604	H	#ʃ i m ɒ# -#	386	CVCV
605	EAH	ʃ i m a -	386	CVCV
606	H	#ʃ i.oː# -#	387	CVV
607	EAH	ʃ i.u -	387	CVV
608	H	#ʃ eː	388	CV
609	EAH	ʃ i.u	388	CVV
610	H	#ʃ oː j o	390	CVCV
611	EAH	t͡ʃ a.w l i	390	CVCCV
612	H	#ʃ o m# -#	392	CVC
613	EAH	t͡ʃ u m -	392	CVC
614	H	#ʃ o m.j oː#	393	CVCCV
615	EAH	ʃ u m.l u.ɣ	393	CVCCVC
616	H	#ʃ ø r# -#	394	CVC
617	EAH	ʃ ɛ r ɛ	394	CVCV
618	H	#ʃ øː r ɛ ɡ# -#	395	CVCVC
619	EAH	ʃ ɛ.w r ɛ ɡ ɛ	395	CVCCVCV
620	H	#ʃ y lː øː#	396	CVCV
621	EAH	ʃ i lː ɛ.ɣ	396	CVCVC
622	H	#ʃ y j#	397	CVC
623	EAH	ʃ i ɣ.y.l	397	CVCVC
624	H	#ʃ yː r yː#	398	CVCV
625	EAH	t͡ʃ i r ɛ.ɣ	398	CVCVC
626	H	#ʃ yː#	399	CV
627	EAH	s i.ɣ	399	CVC
628	H	#ʃ y v# -#	400	CVC
629	EAH	s i ɣ -	400	CVC
630	H	#s aː ɡ o m# -#	401	CVCVC
631	EAH	s a ɡ u m -	401	CVCVC
632	H	#s ɒ k ɒ#	402	CVCV
633	EAH	s a k a.ɣ	402	CVCVC
634	H	#s ɒ k aː lː# -#	403	CVCVC
635	EAH	s a k a l -	403	CVCVC
636	H	#s aː l# -#	404	CVC
637	EAH	s a l -	404	CVC
638	H	#s aː m# -#	405	CVC
639	EAH	s a m -	405	CVC
640	H	#s aː n#	406	CVC
641	EAH	s a.ɣ.i n	406	CVCVC
642	H	#s ɒ p u#	409	CVCV
643	EAH	s a p a.ɣ	409	CVCVC
644	H	#s aː r# -#	410	CVC
645	EAH	s a r -	410	CVC
646	H	#s aː r.ɲ# -#	411	CVCC
647	EAH	sʲ aː r.n -	411	CVCC
648	H	#s ɒ t oː t͡ʃ# -#	412	CVCVC
649	EAH	s a t i.ɣ t͡ʃ i	412	CVCVCCV
650	H	#s eː k# -#	413	CVC
651	EAH	s ɛ k y	413	CVCV
652	H	#s eː l# -#	414	CVC
653	EAH	s eː l -	414	CVC
654	H	#s ɛ n.d	415	CVCC
655	EAH	s ɛ n	415	CVC
656	H	#s eː p# -#	417	CVC
657	EAH	s i p -	417	CVC
658	H	#s ɛ p.l øː#	418	CVCCV
659	EAH	s ɛ p.l ɛ.ɣ	418	CVCCVC
660	H	#s ɛ r# -#	419	CVC
661	EAH	sʲ ɛ r -	419	CVC
662	H	#s eː r yː#	420	CVCV
663	EAH	s y r y.ɣ	420	CVCVC
664	H	#s ɛ s# -#	421	CVC
665	EAH	s i s -	421	CVC
666	H	#s iː n# -#	422	CVC
667	EAH	s i n -	422	CVC
668	H	#s i r o ɲ# -#	423	CVCVC
669	EAH	s i j.r u m -	423	CVCCVC
670	H	#s i r o ɲ# -#	424	CVCVC
671	EAH	s i j.r u m -	424	CVCCVC
672	H	#s oː#	426	CV
673	EAH	s a.w	426	CVC
674	H	#s o n.ɡ o r# -#	427	CVCCVC
675	EAH	s o n.k o r -	427	CVCCVC
676	H	#s oː r#	428	CVC
677	EAH	s a.w.u r	428	CVCVC
678	H	#s ø t͡ʃ.k	429	CVCC
679	EAH	s ɛ k	429	CVC
680	H	#s ø k	430	CVC
681	EAH	s ɛ k	430	CVC
682	H	#s øː l øː#	431	CVCV
683	EAH	sʲ ɛ l ɛ.ɣ	431	CVCVC
684	H	#s ø lː øː#	432	CVCV
685	EAH	sʲ ɛ l ɛ.ɣ	432	CVCVC
686	H	#s uː ɲ o ɡ# -#	433	CVCVC
687	EAH	s i n u k -	433	CVCVC
688	H	#s yː t͡ʃ# -#	434	CVC
689	EAH	sʲ i.ɣ t͡ʃ i	434	CVCCV
690	H	#s yː n	435	CVC
691	EAH	s ø n	435	CVC
692	H	#s yː r# -#	436	CVC
693	EAH	s y r -	436	CVC
694	H	#s yː z# -#	437	CVC
695	EAH	s y z ø.k	437	CVCVC
696	H	#t aː l.t o ʃ# -#	438	CVCCVC
697	EAH	t a l.t u t͡ʃ i	438	CVCCVCV
698	H	#t ɒ n aː t͡ʃ# -#	439	CVCVC
699	EAH	t a n i l.t͡ʃ -	439	CVCVCC
700	H	#t ɒ n uː# -#	440	CVCV
701	EAH	t a n u -	440	CVCV
702	H	#t aː p.l aː	441	CVCCV
703	EAH	t a p.l a.ɣ	441	CVCCVC
704	H	#t ɒ p.l oː#	442	CVCCV
705	EAH	t o p.l u.ɣ	442	CVCCVC
706	H	#t ɒ r# -#	443	CVC
707	EAH	t a r -	443	CVC
708	H	#t aː r#	444	CVC
709	EAH	t a.v.a r	444	CVCVC
710	H	#t ɒ r.l oː#	445	CVCCV
711	EAH	t a r.l a.ɣ	445	CVCCVC
712	H	#t ɒ r.t# -#	446	CVCC
713	EAH	t a r.t -	446	CVCC
714	H	#t ɒ t aː r# -#	447	CVCVC
715	EAH	t a t a r -	447	CVCVC
716	H	#t aː t o r.j aː n# -#	448	CVCVCCVC
717	EAH	t a t u r.ɣ a n -	448	CVCVCCVC
718	H	#t ɛ k ɛ r# -#	450	CVCVC
719	EAH	t ɛ k ɛ r -	450	CVCVC
720	H	#t ɛ k.n øː#	451	CVCCV
721	EAH	t ɛ k.ɛ.n ɛ.ɣ	451	CVCVCVC
722	H	#t ɛ l ɛ k# -#	452	CVCVC
723	EAH	t ɛ l y k -	452	CVCVC
724	H	#t ɛ n.ɡ	454	CVCCVCVC
725	EAH	t ɛ n.ɡ	454	CVCC
726	H	#t ɛ n.ɡ ɛ j# -#	455	CVCCVC
727	EAH	t ɛ n.ɡ ɛ l -	455	CVCCVC
728	H	#t ɛ n.ɡ ɛ r# -#	456	CVCCVC
729	EAH	t ɛ ŋ i r -	456	CVCVC
730	H	#t eː r	457	CVC
731	EAH	t ɛ.v.i r	457	CVCVC
732	H	#t eː r.d# -#	459	CVCC
733	EAH	t iː r -	459	CVC
734	H	#t ɛ r ɛ m# -#	460	CVCVC
735	EAH	t ɛ r ɛ m -	460	CVCVC
736	H	#t ɛ v ɛ# -#	461	CVCV
737	EAH	t ɛ v ɛ -	461	CVCV
738	H	#t i l oː#	462	CVCV
739	EAH	t a l.k i.ɣ	462	CVCCVC
740	H	#t i n oː# -#	463	CVCV
741	EAH	t a n a -	463	CVCV
742	H	#t o j	464	CVC
743	EAH	t u ɣ	464	CVC
744	H	#t o k# -#	466	CVC
745	EAH	t o k u	466	CVCV
746	H	#t o k.j oː# -#	467	CVCCV
747	EAH	t o k.l u -	467	CVCCV
748	H	#t o l.m aː t͡ʃ# -#	468	CVCCVC
749	EAH	t o l.m a t͡ʃ -	468	CVCCVC
750	H	#t o r.m ɒ# -#	469	CVCCV
751	EAH	t u r.m a -	469	CVCCV
752	H	#t o r.l	471	CVCCV
753	EAH	t o r.o	471	CVCV
754	H	#t o r o n.t aː l# -#	472	CVCVCCVC
755	EAH	t u r u n.t a j -	472	CVCVCCVC
756	H	#t oː t# -#	473	CVC
757	EAH	t aː t -	473	CVC
758	H	#t ø k eː	474	CVCV
759	EAH	t y k ɛ	474	CVCV
760	H	#t ø m eː n	475	CVCVC
761	EAH	t y m ɛ n	475	CVCVC
762	H	#t ø r#	476	CVC
763	EAH	t y.ɣ.y r	476	CVCVC
764	H	#t øː r# -#	477	CVC
765	EAH	t øː r -	477	CVC
766	H	#t ø r ø k# -#	478	CVCVC
767	EAH	t y r - k y	478	CVCCV
768	H	#t ø r.t eː n	479	CVCCVC
769	EAH	t ø r.t y n	479	CVCCVC
770	H	#t ø r.v eː ɲ#	480	CVCCVC
771	EAH	t y r.y.ɣ ɛ n	480	CVCVCVC
772	H	#t øː z ɛ ɡ# -#	481	CVCVC
773	EAH	t ø z ɛ k -	481	CVCVC
774	H	#t u l o k# -#	482	CVCVC
775	EAH	t u l o k -	482	CVCVC
776	H	#t uː r oː#	483	CVCV
777	EAH	t o r a.ɣ	483	CVCVC
778	H	#t u r u l# -#	484	CVCVC
779	EAH	t u.ɣ r ɯ l -	484	CVCCVC
780	H	#t uː z o k# -#	485	CVCVC
781	EAH	t o.ɣ z a k -	485	CVCCVC
782	H	#t y k ø r# -#	487	CVCVC
783	EAH	t y k ɛ r -	487	CVCVC
784	H	#t yː r# -#	488	CVC
785	EAH	t y r -	488	CVC
786	H	#c uː k#	490	CVC
787	EAH	t i.ɣ.u k	490	CVCVC
788	H	#u ɡ# -#	491	VC
789	EAH	u ɡ u	491	VCV
790	H	#uː r# -#	492	VC
791	EAH	u r i	492	VCV
792	H	#y d y	493	VCV
793	EAH	ɛ d y	493	VCV
794	H	#y nː ɛ p# -#	494	VCVC
795	EAH	i d.n a p -	494	VCCVC
796	H	#y n øː#	495	VCV
797	EAH	i n ɛ.ɣ	495	VCVC
798	H	#y r.ɡ ɛ# -#	497	VCCV
799	EAH	y r.ɡ ɛ -	497	VCCV
800	H	#y r ø m# -#	498	VCVC
801	EAH	ɛ r i m -	498	VCVC
802	H	#y r y#	500	VCV
803	EAH	i r i.ɣ	500	VCVC
804	H	#y s ø k# -#	501	VCVC
805	EAH	i s y ɡ -	501	VCVC
806	H	#y s ø ɡ# -#	502	VCVC
807	EAH	i s y ɡ -	502	VCVC
808	H	#y v ɛ t͡ʃ# -#	503	VCVC
809	EAH	ø v ɛ t͡ʃ -	503	VCVC
810	H	#v aː j# -#	504	CVC
811	EAH	v a j -	504	CVC
812	H	#v aː j uː#	505	CVCV
813	EAH	v a l a.ɣ	505	CVCVC
814	H	#v ɛ j.s ɛ#	506	CVCCV
815	EAH	v ɛ j.s ɛ.ɣ	506	CVCCVC
816	H	#v eː k# -#	508	CVC
817	EAH	v ɛ k y	508	CVCV
818	H	#v ɛ n.d eː ɡ# -#	509	CVCCVC
819	EAH	v ɛ n.d ɛ ɡ -	509	CVCCVC
820	H	#v eː r.t ɛ l ɛ k# -#	511	CVCCVCVC
821	EAH	v ɛ r.t ɛ l y k -	511	CVCCVCVC
822	H	#z ɛ r.ɡ ɛ# -#	512	CVCCV
823	EAH	s ɛ r.ɡ ɛ -	512	CVCCV
