ID	COGID	DOCULECT	ALIGNMENT	PROSODY
136	76	EAH	b u t i ɣ	CVCVC
137	76	WOT	b u t ɯ ɣ	CVCVC
138	77	EAH	b u t i ɣ	CVCVC
139	77	WOT	b u t ɯ ɣ	CVCVC
140	78	EAH	b u t i ɣ	CVCVC
141	78	WOT	b u t ɯ ɣ	CVCVC
142	79	EAH	b u t i ɣ	CVCVC
143	79	WOT	b u t ɯ ɣ	CVCVC
144	81	EAH	b ɛ ɣ	CVC
145	81	WOT	b ɛ ɣ	CVC
146	82	EAH	b ø ɡ ø l ø k	CVCVCVC
147	82	WOT	b ø ɡ ø l ɛ k	CVCVCVC
148	83	EAH	b y ɣ t ɛ	CVCCV
149	83	WOT	b y ɣ t ɛ	CVCCV
150	84	EAH	b y ɣ y t͡ʃ i	CVCVCV
151	84	WOT	b y ɣ y t͡ʃ i	CVCVCV
152	85	EAH	b ɛ l t͡ʃ ɛ ɣ	CVCCVC
153	85	WOT	b ɛ l t͡ʃ i ɣ	CVCCVC
154	86	EAH	b ɛ l ɛ n	CVCVC
155	86	WOT	b y l ɛ n	CVCVC
156	87	EAH	b ɛ r t ɛ n	CVCCVC
157	87	WOT	b ɛ r t ɛ n	CVCCVC
158	89	EAH	b u ɣ	CVC
159	89	WOT	b u ɣ	CVC
160	90	EAH	b u l t͡ʃ u ɣ	CVCCVC
161	90	WOT	b o l t͡ʃ u ɣ	CVCCVC
162	92	EAH	b u l a r	CVCVC
163	92	WOT	b u l a r	CVCVC
164	93	EAH	b uː s	CVC
165	93	WOT	b uː s	CVC
166	94	EAH	b u ɣ z a i -	CVCCVV
167	94	WOT	b u ɣ ð a - j	CVCCVC
168	96	EAH	b i k	CVC
169	96	WOT	b i k	CVC
170	97	EAH	b yː n	CVC
171	97	WOT	b yː n	CVC
172	98	EAH	b y t y ɣ	CVCVC
173	98	WOT	b y t y ɣ	CVCVC
174	99	EAH	b y ɣ y	CVCV
175	99	WOT	b y ɣ y	CVCV
176	100	EAH	t͡ʃ i ɡ l ɛ	CVCCV
177	100	WOT	t͡ʃ i ɡ l ɛ	CVCCV
178	101	EAH	t͡ʃ i k l ɛ	CVCCV
179	101	WOT	t͡ʃ i k l ɛ	CVCCV
180	102	EAH	t͡ʃ i k l ɛ	CVCCV
181	102	WOT	t͡ʃ i k l ɛ	CVCCV
182	103	EAH	t͡ʃ i k l ɛ	CVCCV
183	103	WOT	t͡ʃ i k l ɛ	CVCCV
184	104	EAH	t͡ʃ i k l ɛ	CVCCV
185	104	WOT	t͡ʃ i k l ɛ	CVCCV
186	105	EAH	t͡ʃ i ɡ l a	CVCCV
187	105	WOT	t͡ʃ ɯ ɡ l a	CVCCV
188	106	EAH	t͡ʃ i ɡ l a	CVCCV
189	106	WOT	t͡ʃ ɯ ɡ l a	CVCCV
190	110	EAH	t͡ʃ a k	CVC
191	110	WOT	t͡ʃ a k	CVC
192	111	EAH	t͡ʃ a k a n	CVCVC
193	111	WOT	t͡ʃ a kː a n	CVCVC
194	112	EAH	t͡ʃ a l - - aː n	CVCVC
195	112	WOT	t͡ʃ a l ɯ ɣ a n	CVCVCVC
196	113	EAH	t͡ʃ i l - - aː n	CVCVC
197	113	WOT	t͡ʃ a l ɯ ɣ a n	CVCVCVC
198	114	EAH	t͡ʃ a l a ɣ a n	CVCVCVC
199	114	WOT	t͡ʃ a l ɯ ɣ a n	CVCVCVC
