"Rona-Tas-2011-500-1"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-78"	77	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-79"	78	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-80"	79	"stick, cane"	1295	"STICK"
"Rona-Tas-2011-500-81"	80	"a kind of beer, alcoholic beverage"	404	"ALCOHOL (FERMENTED DRINK)"
"Rona-Tas-2011-500-82"	81	"rich; abundant, roomy"	712	"RICH"
"Rona-Tas-2011-500-83"	82	"horsefly, gadfly"	3262	"HORSEFLY"
"Rona-Tas-2011-500-84"	83	"fast(ing)"	1631	"FAST"
"Rona-Tas-2011-500-85"	84	"wise"	698	"WISE"
"Rona-Tas-2011-500-86"	85	"cradle"	2946	"CRADLE"
"Rona-Tas-2011-500-87"	86	"bison"	3142	"BISON"
"Rona-Tas-2011-500-88"	87	"prison, jail"	1281	"PRISON"
"Rona-Tas-2011-500-89"	88	"Ismaelite, name of an ethnic group in Medieval Hungary"	1405	"NAME"
"Rona-Tas-2011-500-90"	89	"sad, bad-tempered"	699	"SAD"
"Rona-Tas-2011-500-91"	90	"farewell, indulgence, dedication festival, annual parish-feast"	3554	"GOODBYE"
"Rona-Tas-2011-500-92"	91	"ox; also ox, goat, ram without or with small or unusual horns;stupid"	1502	"GOAT"
"Rona-Tas-2011-500-93"	92	"Volga Bulgar"	1405	"NAME"
"Rona-Tas-2011-500-94"	93	"steam, vapour, fumes; heat"	1193	"STEAM"
"Rona-Tas-2011-500-95"	94	"wheat, Triticum"	1077	"WHEAT"
"Rona-Tas-2011-500-96"	95	"club, mace, reed-mace"	1763	"CLUB"
"Rona-Tas-2011-500-97"	96	"beech"	1950	"BEECH"
"Rona-Tas-2011-500-98"	97	"sin"	2971	"SIN"
"Rona-Tas-2011-500-99"	98	"(blunt) end of something, a rod with an end cut, obtuse end of a field-strip, the shorter side or end of a piece of furniture, foot of the hill"	3985	"STUB"
"Rona-Tas-2011-500-100"	99	"magical"	3986	"MAGICAL"
"Rona-Tas-2011-500-101"	100	"a kind of willow, Salix elægnos"	818	"WILLOW"
"Rona-Tas-2011-500-102"	101	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-103"	102	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-104"	103	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-105"	104	"trap; snare (for catching birds); bird cage"	1075	"TRAP (PITFALL)"
"Rona-Tas-2011-500-106"	105	"a kind of willow, used for baskets and in viticulture, Salix purpurea"	818	"WILLOW"
"Rona-Tas-2011-500-107"	106	"a kind of willow"	818	"WILLOW"
"Rona-Tas-2011-500-108"	107	"a kind of wolfs milk, Easter flower, Euphorbia"	3987	"EUPHORBIA"
"Rona-Tas-2011-500-109"	108	"a kind of wolfs milk, Easter flower, Euphorbia"	3987	"EUPHORBIA"
"Rona-Tas-2011-500-110"	109	"a fish, Leuciscus souffia agassizi"	227	"FISH"
"Rona-Tas-2011-500-111"	110	"only, just"	1580	"ONLY"
"Rona-Tas-2011-500-112"	111	"pick-axe; mace; a small axe; war hammer"	677	"AXE"
"Rona-Tas-2011-500-113"	112	"nettle, Urtica"	33	"NETTLE"
"Rona-Tas-2011-500-114"	113	"nettle, Urtica"	33	"NETTLE"
"Rona-Tas-2011-500-115"	114	"nettle, Urtica"	33	"NETTLE"
"Rona-Tas-2011-500-116"	115	"thicket, brushwood, dry foliage, grove, meadow"	2819	"GRASSLAND"
"Rona-Tas-2011-500-117"	116	"thicket, brushwood; dry foliage, grove, meadow"	2819	"GRASSLAND"
"Rona-Tas-2011-500-118"	117	"(silver) cup, wooden ladle, earthenware bowl"	476	"CUP"
"Rona-Tas-2011-500-119"	118	"fighting, troop, army group, battle, quarrel, hubbub, flock"	1848	"QUARREL"
"Rona-Tas-2011-500-120"	119	"fighting, troop, army group, battle, quarrel, hubbub, flock"	1848	"QUARREL"
"Rona-Tas-2011-500-121"	120	"to add, to join; to buckle up something"	1743	"JOIN"
"Rona-Tas-2011-500-122"	121	"clasp"	3988	"FASTENER"
"Rona-Tas-2011-500-123"	122	"measle, smallpox, pocks; skin eruption; decorative embroidery"	1054	"SMALLPOX"
"Rona-Tas-2011-500-124"	123	"measle, smallpox, pocks; skin eruption; decorative embroidery"	1054	"SMALLPOX"
"Rona-Tas-2011-500-125"	124	"to bind (something)"	1917	"TIE"
"Rona-Tas-2011-500-126"	125	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-127"	126	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-128"	127	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-129"	128	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-130"	129	"snail, Helix; snail-shell, pulley, vertebra"	1543	"SNAIL"
"Rona-Tas-2011-500-131"	130	"a wine of low quality, a fruit wine"	1524	"WINE"
"Rona-Tas-2011-500-132"	131	"a wine of low quality, a fruit wine"	1524	"WINE"
"Rona-Tas-2011-500-133"	132	"secretion, mucus discharged from the eyes"	3989	"RHEUM"
"Rona-Tas-2011-500-134"	133	"squint-eyed, blind in one eye, onearmed, one-legged"	87	"SQUINT-EYED"
"Rona-Tas-2011-500-135"	134	"a carpenters axe with a long helve"	677	"AXE"
"Rona-Tas-2011-500-136"	135	"stallion"	936	"STALLION"
"Rona-Tas-2011-500-137"	136	"stallion"	936	"STALLION"
"Rona-Tas-2011-500-138"	137	"stallion"	936	"STALLION"
