"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-77"	77	"nettle, Urtica"	33	"NETTLE"
"Rona-Tas-2011-500-78"	78	"nettle, Urtica"	33	"NETTLE"
"Rona-Tas-2011-500-79"	79	"thicket, brushwood, dry foliage, grove, meadow"	2819	"GRASSLAND"
"Rona-Tas-2011-500-80"	80	"thicket, brushwood; dry foliage, grove, meadow"	2819	"GRASSLAND"
"Rona-Tas-2011-500-81"	81	"(silver) cup, wooden ladle, earthenware bowl"	476	"CUP"
"Rona-Tas-2011-500-82"	82	"fighting, troop, army group, battle, quarrel, hubbub, flock"	1848	"QUARREL"
"Rona-Tas-2011-500-83"	83	"fighting, troop, army group, battle, quarrel, hubbub, flock"	1848	"QUARREL"
"Rona-Tas-2011-500-84"	84	"to add, to join; to buckle up something"	1743	"JOIN"
"Rona-Tas-2011-500-85"	85	"measle, smallpox, pocks; skin eruption; decorative embroidery"	1054	"SMALLPOX"
"Rona-Tas-2011-500-86"	86	"measle, smallpox, pocks; skin eruption; decorative embroidery"	1054	"SMALLPOX"
"Rona-Tas-2011-500-87"	87	"to bind (something)"	1917	"TIE"
"Rona-Tas-2011-500-88"	88	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-89"	89	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-90"	90	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-91"	91	"impurities, tow, chaff"	2363	"CHAFF (HUSK)"
"Rona-Tas-2011-500-92"	92	"snail, Helix; snail-shell, pulley, vertebra"	1543	"SNAIL"
"Rona-Tas-2011-500-93"	93	"squint-eyed, blind in one eye, onearmed, one-legged"	87	"SQUINT-EYED"
"Rona-Tas-2011-500-94"	94	"stallion"	936	"STALLION"
"Rona-Tas-2011-500-95"	95	"stallion"	936	"STALLION"
"Rona-Tas-2011-500-96"	96	"stallion"	936	"STALLION"
"Rona-Tas-2011-500-97"	97	"to become smaller, remain small, to sway, to totter, tosprain"	573	"SWAY"
"Rona-Tas-2011-500-98"	98	"stubborn"	3634	"STUBBORN"
"Rona-Tas-2011-500-99"	99	"rough, coarse; ugly; wild, unbridled"	1548	"UGLY"
"Rona-Tas-2011-500-100"	100	"to wind, to turn, to distrort, misinterpret, to spin a yarn"	1588	"TURN"
"Rona-Tas-2011-500-101"	101	"bobbin, spindle"	277	"SPINDLE"
"Rona-Tas-2011-500-102"	102	"noon, south"	12	"MIDDAY"
"Rona-Tas-2011-500-103"	103	"noon, south"	12	"MIDDAY"
"Rona-Tas-2011-500-104"	104	"nut; walnut, Juglans"	2042	"WALNUT"
"Rona-Tas-2011-500-105"	105	"nut; walnut, Juglans"	2042	"WALNUT"
"Rona-Tas-2011-500-106"	106	"pig, Sus domestica"	1337	"PIG"
"Rona-Tas-2011-500-107"	107	"to lean, topple over, stream down"	3619	"LEAN"
"Rona-Tas-2011-500-108"	108	"to lean, topple over, stream down"	3619	"LEAN"
"Rona-Tas-2011-500-109"	109	"to squeeze, to thrust into"	1414	"SQUEEZE"
