"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"Rona-Tas-2011-500-324"	324	"law"	1062	"LAW"
"Rona-Tas-2011-500-325"	325	"steer, young bullock, ox or cow"	1007	"COW"
"Rona-Tas-2011-500-326"	326	"mirror"	1171	"MIRROR"
"Rona-Tas-2011-500-327"	327	"mirror"	1171	"MIRROR"
"Rona-Tas-2011-500-328"	328	"to endure, suffer, bear, stand"	833	"ENDURE"
"Rona-Tas-2011-500-329"	329	"hen"	1514	"HEN"
"Rona-Tas-2011-500-330"	330	"owl, Strix"	735	"OWL"
"Rona-Tas-2011-500-331"	331	"gentleman, lord, sir, high dignity, Lord (also of a king or of God)"	3153	"LORD"
"Rona-Tas-2011-500-332"	332	"to refresh oneself, to rest, to become cured"	168	"REST"
"Rona-Tas-2011-500-333"	333	"wormwood, Artemisia; bitterness"	887	"BITTER"
"Rona-Tas-2011-500-334"	334	"wormwood, Artemisia; bitterness"	887	"BITTER"
"Rona-Tas-2011-500-335"	335	"wether, sheep"	1331	"SHEEP"
"Rona-Tas-2011-500-336"	336	"to hollow out, to scoop out"	46	"HOLLOW OUT"
"Rona-Tas-2011-500-337"	337	"trough, tray"	205	"TROUGH"
"Rona-Tas-2011-500-338"	338	"guest"	1782	"GUEST"
"Rona-Tas-2011-500-339"	339	"to plait, to lay the rope"	3295	"BRAID (VERB)"
