sc	src	tgt	freq	CogID	forms
ɯ -	ɯ	-	6	7, 112, 115, 202, 411, 445	alačï alač, čalïγan čalān, čaltï čalit, ǰulkučï ǰilkuš, čaγrïn śārn, tarïlaγ tarlaγ
m m	m	m	36	11, 34, 134, 167, 184, 198, 203, 204, 216, 217, 224, 232, 234, 254, 260, 261, 295, 296, 298, 303, 305, 306, 331, 353, 354, 372, 386, 393, 401, 405, 423, 460, 468, 469, 475, 498	alma alma, barum barum, čomak čomak, ärdäm erdem, ǰalïm ǰalum, ǰärmäk ǰärmäk, ǰom ǰom, ǰumur ǰumur, ǰemilč ǰemilč, ǰemilčen ǰemilčen, χumakï humoki, ïldam ildam, vïm vim, karamuγ karamuγ, koram korām, karampil karampil, kumlaγ kumlaγ, kamїčïn kåmičin, komur komur, kurum kurum, kasmaγ kasmaγ, kädmän kedmen, munar munar, ävirmän eü̯rmen, ärmäni ermeni, šarmaγ šarmaγ, šïma šima, čumluγ šumluγ, sagïm sagum, sām sam, sïyrum siyrum, terem terem, tolmač tolmač, turma turma, tümän tümen, erim erim
t t	t	t	90	12, 17, 20, 24, 28, 37, 45, 48, 56, 60, 61, 76, 83, 87, 98, 115, 118, 120, 121, 150, 174, 187, 191, 200, 201, 209, 264, 266, 279, 323, 349, 365, 374, 384, 412, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 450, 451, 452, 454, 455, 456, 457, 459, 460, 461, 462, 463, 464, 466, 467, 468, 469, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 488, 490, 511	altïlïg altalag, orat orat, artat ārtat, arïtan aritan, balta balta, baγatur baγatur, bürtiγ bürtiγ, bitig bitiγ, bolčat bulčat, bogut buγut, balturgan balturγan, butїγ butiγ, büγtä büγte, bärtän berten, bütüγ bütüγ, čaltï čalit, čata čata, čat čat, čatï čati, tüli töli, ätil etil, ǰaput ǰaput, ǰarat ǰarat, yarta ǰarta, yartaγan ǰartaγan, ǰitür ǰitür, karakotan karakotan, kataŋ katāng, kärtä kerte, kertweliγ kertβeli, ilt ilt, čïγt čaγt, čatur čatur, širt širt, satïγčï satiγči, taltučï taltuči, tanïlč tanilč, tanuγ tanu, taplaγ taplaγ, topluγ topluγ, tar tar, tavar tavar, tarïlaγ tarlaγ, tart tart, tatar tatar, taturgan taturγan, täkir teker, täkänäγ tekeneγ, tilök telük, täŋ teng, teŋäl tengel, täŋir teŋir, tävir tevir, tīr tīr, terem terem, teve teve, talkïγ talkiγ, tana tana, tuγ tuγ, toku toku, toklu toklu, tolmač tolmač, turma turma, turo toro, turuntay turuntay, tāt tāt, tükä tüke, tümän tümen, töγür tüγür, tȫr tȫr, türkü türkü, törütün törtün, törüγän türüγen, tezäk tözek, tokol tukol, toraγ toraγ, toγrïl tuγrïl, togδak toγzak, tikär tiker, tör tür, tiγuk tiγuk, vertülük vertelük
ɯ a	ɯ	a	4	12, 149, 365	altïlïg altalag, darï dara, čïγt čaγt
ɡ ɡ	ɡ	ɡ	25	12, 42, 58, 59, 82, 100, 105, 129, 130, 157, 177, 179, 227, 228, 329, 332, 369, 381, 383, 395, 401, 496, 497, 501, 509	altïlïg altalag, bäläg beleg, bog bog, bogul bogul, bögöläk bögölök, čiglä čigle, čïgla čigla, čïga čïga, čïgïr čigir, dïg dïg, güdän güden, gürän güren, ügä üge, egän egen, köligäliγ köligeliγ, nögär nöger, šarug šarug, čärig čärig, širlig šerleg, šivrigey ševrege, sagïm sagum, örgä ürge, örgä ürge, isig isüg, vändäg vendeg
o o	o	o	35	14, 15, 16, 17, 55, 58, 59, 65, 66, 72, 75, 133, 134, 185, 203, 225, 260, 263, 264, 292, 298, 301, 302, 304, 333, 338, 427, 442, 466, 467, 468, 471, 482, 483, 485	op op, opura oporo, opuruγ opuruγ, orat orat, bolčan bolčan, bog bog, bogul bogul, boγul boγol, bor bor, borsï borsi, bosuγ bosuγ, čolak čolak, čomak čomak, ǰonaγ ǰonaγ, ǰom ǰom, urok urok, koram korām, karoγ karoγ, karakotan karakotan, koldu koldu, komur komur, korγan korγan, kowrog kuroγ, koč koč, učoγ učoγ, oγlaγ oγlaγ, soŋkur sonkor, topluγ topluγ, toku toku, toklu toklu, tolmač tolmač, turo toro, tokol tukol, toraγ toraγ, togδak toγzak
p p	p	p	30	14, 15, 16, 23, 125, 132, 186, 187, 188, 195, 196, 197, 207, 255, 256, 261, 275, 299, 317, 318, 319, 320, 376, 377, 378, 409, 417, 418, 441, 442	op op, opura oporo, opuruγ opuruγ, arpa arpa, čöpüγ čöpüγ, čapaγ čapaγ, ǰapaγu ǰapγu, ǰaput ǰaput, ǰarpa ǰarpa, ǰipliγ ǰipliγ, ǰäpiγ ǰepiγ, ǰäpi ǰepi, ǰïpar ǰïpar, kapkan kapkan, kapuγ kapuγ, karampil karampil, käpäγ kepeγ, kapurčaγ kopurčaγ, köpčäγ köpčeγ, köpäk köpek, kepenek kepenek, küpüγ küpüγ, šipir šipir, šipiriγ šipiriγ, čöpräγ čöpreγ, sapaγ sapaγ, sip sip, säpliγ sepleγ, taplaγ taplaγ, topluγ topluγ
u o	u	o	5	15, 65, 346, 427, 471	opura oporo, boγul boγol, orwučï urvoči, soŋkur sonkor, turo toro
r r	r	r	148	15, 16, 17, 19, 20, 22, 23, 24, 34, 35, 37, 43, 44, 45, 54, 61, 66, 68, 69, 70, 71, 72, 73, 87, 92, 130, 144, 145, 149, 166, 167, 168, 169, 170, 179, 188, 190, 191, 198, 200, 201, 204, 207, 209, 212, 218, 219, 222, 223, 225, 231, 236, 237, 245, 254, 257, 259, 260, 261, 263, 264, 265, 267, 272, 277, 278, 279, 287, 288, 298, 299, 300, 301, 302, 303, 321, 323, 331, 332, 342, 343, 344, 345, 346, 348, 352, 353, 354, 355, 356, 357, 358, 367, 368, 369, 370, 371, 372, 373, 374, 376, 377, 378, 380, 381, 382, 383, 384, 394, 395, 398, 410, 411, 419, 420, 423, 427, 428, 436, 443, 444, 445, 446, 447, 448, 450, 456, 457, 459, 460, 469, 471, 472, 476, 477, 478, 479, 480, 483, 484, 486, 488, 492, 496, 497, 498, 500, 511	opura oporo, opuruγ opuruγ, orat orat, ar ār, artat ārtat, aruk āruk, arpa arpa, arïtan aritan, barum barum, barčun barčun, baγatur baγatur, berü bērü, Bärsil bersil, bürtiγ bürtiγ, bïrug biruγ, balturgan balturγan, bor bor, bur bur, buraγu buraγu, burč burč, burčaγ burčaγ, borsï borsi, basarkan basarkan, bärtän berten, bular bular, čïgïr čigir, čäwür čevür, čäviri čeviri, darï dara, er er, ärdäm erdem, ärkilč erkelč, ärin erin, äriγ eriγ, gürän güren, ǰarpa ǰarpa, ǰarlïγ ǰarlïγ, ǰarat ǰarat, ǰärmäk ǰärmäk, yarta ǰarta, yartaγan ǰartaγan, ǰumur ǰumur, ǰïpar ǰïpar, ǰitür ǰitür, ǰuγur ǰuγur, ǰereγ ǰereγ, ǰürüγ ǰürüγ, χoŋar hangar, χїrγuy xirγuy, urok urok, ikir ikir, ïr ir, ïraγ iraγ, karlukan karlukan, karamuγ karamuγ, kar kar, karakan karakan, koram korām, karampil karampil, karoγ karoγ, karakotan karakotan, kargay karγay, kazar kazar, kändir kendir, käwir kēr, käwiräg kevereγ, kärtä kerte, kökärilč kükerilč, kökärčän kükerčen, komur komur, kapurčaγ kopurčaγ, kur kur, korγan korγan, kowrog kuroγ, kurum kurum, kevrič kewrič, kertweliγ kertβeli, munar munar, nögär nöger, urus urus, aruslan uruslān, určuγ určuγ, ogru uγru, orwučï urvoči, ökür ükür, ävir evir, ävirmän eü̯rmen, ärmäni ermeni, ürük ürük, öγir öγir, ävril evril, äγir eγir, šar šar, šarï šari, šarug šarug, šarakan šārkān, čarlaγ čarlaγ, šarmaγ šarmaγ, čaruγ čaruγ, čatur čatur, šipir šipir, šipiriγ šipiriγ, čöpräγ čöpreγ, šir šir, čärig čärig, širkä širke, širlig šerleg, širt širt, šire šere, šivrigey ševrege, čiräγ čireγ, sar sar, čaγrïn śārn, čer śer, čürüγ sürüγ, sïyrum siyrum, soŋkur sonkor, sawur sawur, sür sür, tar tar, tavar tavar, tarïlaγ tarlaγ, tart tart, tatar tatar, taturgan taturγan, täkir teker, täŋir teŋir, tävir tevir, tīr tīr, terem terem, turma turma, turo toro, turuntay turuntay, töγür tüγür, tȫr tȫr, türkü türkü, törütün törtün, törüγän türüγen, toraγ toraγ, toγrïl tuγrïl, tikär tiker, tör tür, urï uri, örgä ürge, örgä ürge, erim erim, iriγ iriγ, vertülük vertelük
a o	a	o	4	15, 63, 224, 299	opura oporo, baka bokå, χumakï humoki, kapurčaγ kopurčaγ
